Source,Target,color
0,159,#AAAAAA
0,189,#AAAAAA
0,191,#AAAAAA
0,196,#AAAAAA
0,205,#AAAAAA
0,266,#AAAAAA
0,280,#AAAAAA
0,331,#AAAAAA
0,360,#AAAAAA
0,473,#AAAAAA
0,528,#AAAAAA
0,7914,#AAAAAA
0,9460,#AAAAAA
1,107,#00FFFF
1,118,#00FFFF
1,123,#00FFFF
1,199,#00FFFF
1,507,#00FFFF
1,2341,#00FFFF
1,5453,#00FFFF
1,5471,#00FFFF
1,5486,#00FFFF
1,6814,#00FFFF
1,8070,#00FFFF
2,132,#0000FF
2,144,#0000FF
2,150,#0000FF
2,208,#0000FF
2,673,#0000FF
2,716,#0000FF
2,1757,#0000FF
2,2143,#0000FF
2,2795,#0000FF
2,6124,#0000FF
2,6550,#0000FF
3,100,#000000
3,105,#000000
3,153,#000000
3,202,#000000
3,231,#000000
3,245,#000000
3,281,#000000
3,5098,#000000
3,7525,#000000
4,129,#AAAAAA
4,173,#AAAAAA
4,232,#AAAAAA
4,1572,#AAAAAA
4,7405,#AAAAAA
4,7624,#AAAAAA
5,131,#0000FF
5,137,#0000FF
5,271,#0000FF
5,2223,#0000FF
5,2535,#0000FF
5,3139,#0000FF
5,3875,#0000FF
5,6011,#0000FF
5,6575,#0000FF
6,141,#0000FF
6,165,#0000FF
6,464,#0000FF
6,600,#0000FF
6,632,#0000FF
6,2957,#0000FF
7,460,#00FF00
7,624,#00FF00
7,960,#00FF00
7,1164,#00FF00
7,9399,#00FF00
8,103,#AAAAAA
8,141,#AAAAAA
8,217,#AAAAAA
8,229,#AAAAAA
8,286,#AAAAAA
8,380,#AAAAAA
8,580,#AAAAAA
8,942,#AAAAAA
8,1658,#AAAAAA
8,3129,#AAAAAA
8,6271,#AAAAAA
9,100,#00FF00
9,112,#00FF00
9,120,#00FF00
9,438,#00FF00
9,880,#00FF00
9,1693,#00FF00
9,2178,#00FF00
9,2980,#00FF00
9,5476,#00FF00
9,7192,#00FF00
10,213,#000000
10,386,#000000
10,592,#000000
10,1358,#000000
10,1726,#000000
10,9228,#000000
11,140,#FF00FF
11,152,#FF00FF
11,1262,#FF00FF
11,1615,#FF00FF
11,1632,#FF00FF
11,2048,#FF00FF
11,4434,#FF00FF
11,7606,#FF00FF
12,115,#FF00FF
12,130,#FF00FF
12,190,#FF00FF
12,200,#FF00FF
12,223,#FF00FF
12,393,#FF00FF
12,1326,#FF00FF
12,7889,#FF00FF
13,180,#000000
13,197,#000000
13,371,#000000
14,101,#AAAAAA
14,129,#AAAAAA
14,149,#AAAAAA
14,155,#AAAAAA
14,268,#AAAAAA
14,280,#AAAAAA
14,595,#AAAAAA
14,4837,#AAAAAA
14,9794,#AAAAAA
15,113,#0000FF
15,199,#0000FF
15,811,#0000FF
15,1923,#0000FF
15,4742,#0000FF
15,6109,#0000FF
15,7089,#0000FF
16,110,#FFFF00
16,187,#FFFF00
16,191,#FFFF00
16,296,#FFFF00
16,1276,#FFFF00
16,1290,#FFFF00
16,1310,#FFFF00
16,4460,#FFFF00
17,117,#00FFFF
17,124,#00FFFF
17,133,#00FFFF
17,158,#00FFFF
17,189,#00FFFF
17,492,#00FFFF
17,600,#00FFFF
17,689,#00FFFF
17,947,#00FFFF
17,1098,#00FFFF
17,3428,#00FFFF
17,3728,#00FFFF
17,3925,#00FFFF
18,233,#FFFF00
18,775,#FFFF00
18,928,#FFFF00
19,162,#00FF00
19,187,#00FF00
19,273,#00FF00
19,387,#00FF00
19,1181,#00FF00
19,1708,#00FF00
19,6402,#00FF00
19,8422,#00FF00
20,222,#000000
20,392,#000000
21,134,#000000
21,274,#000000
21,328,#000000
21,395,#000000
21,410,#000000
21,584,#000000
21,2602,#000000
21,3149,#000000
21,9575,#000000
22,316,#000000
22,984,#000000
22,1993,#000000
23,142,#00FFFF
23,144,#00FFFF
23,146,#00FFFF
23,210,#00FFFF
23,300,#00FFFF
23,329,#00FFFF
23,435,#00FFFF
23,896,#00FFFF
23,1017,#00FFFF
23,1200,#00FFFF
23,1450,#00FFFF
23,1954,#00FFFF
23,3777,#00FFFF
23,4197,#00FFFF
23,5428,#00FFFF
23,5442,#00FFFF
24,125,#00FF00
24,1340,#00FF00
24,4047,#00FF00
25,122,#00FFFF
25,177,#00FFFF
25,325,#00FFFF
25,691,#00FFFF
25,3759,#00FFFF
26,166,#000000
26,212,#000000
26,437,#000000
26,750,#000000
26,1616,#000000
26,1772,#000000
27,108,#000000
27,151,#000000
27,428,#000000
27,914,#000000
27,5608,#000000
27,6376,#000000
28,188,#000000
28,321,#000000
28,1443,#000000
28,4870,#000000
29,175,#00FFFF
29,190,#00FFFF
29,216,#00FFFF
29,228,#00FFFF
29,341,#00FFFF
29,363,#00FFFF
29,2037,#00FFFF
29,3155,#00FFFF
30,157,#00FF00
30,438,#00FF00
30,3126,#00FF00
31,136,#FF00FF
31,153,#FF00FF
31,169,#FF00FF
31,196,#FF00FF
31,204,#FF00FF
31,218,#FF00FF
31,419,#FF00FF
31,2792,#FF00FF
31,5531,#FF00FF
32,113,#00FF00
32,150,#00FF00
32,173,#00FF00
32,194,#00FF00
32,218,#00FF00
32,238,#00FF00
32,283,#00FF00
32,436,#00FF00
32,562,#00FF00
32,689,#00FF00
32,1008,#00FF00
32,1536,#00FF00
32,1573,#00FF00
32,1873,#00FF00
33,171,#FF0000
33,353,#FF0000
33,1070,#FF0000
33,7288,#FF0000
34,3404,#FF00FF
34,6586,#FF00FF
35,110,#00FFFF
35,288,#00FFFF
35,830,#00FFFF
35,4215,#00FFFF
35,4702,#00FFFF
36,102,#0000FF
36,163,#0000FF
36,254,#0000FF
36,338,#0000FF
36,340,#0000FF
36,413,#0000FF
36,677,#0000FF
36,853,#0000FF
36,1186,#0000FF
36,1677,#0000FF
36,1984,#0000FF
36,3312,#0000FF
36,6914,#0000FF
37,106,#00FF00
37,209,#00FF00
37,463,#00FF00
37,806,#00FF00
37,1676,#00FF00
37,2400,#00FF00
37,3160,#00FF00
37,3761,#00FF00
38,115,#0000FF
38,192,#0000FF
38,331,#0000FF
38,376,#0000FF
38,446,#0000FF
38,561,#0000FF
38,925,#0000FF
38,1028,#0000FF
38,2472,#0000FF
38,4106,#0000FF
38,7511,#0000FF
39,682,#FF00FF
39,1054,#FF00FF
39,2176,#FF00FF
39,8294,#FF00FF
40,119,#AAAAAA
40,135,#AAAAAA
40,138,#AAAAAA
40,168,#AAAAAA
40,175,#AAAAAA
40,284,#AAAAAA
40,300,#AAAAAA
40,308,#AAAAAA
40,493,#AAAAAA
40,581,#AAAAAA
40,1012,#AAAAAA
40,1776,#AAAAAA
40,2904,#AAAAAA
40,3174,#AAAAAA
41,125,#FFFF00
41,177,#FFFF00
41,180,#FFFF00
41,183,#FFFF00
41,381,#FFFF00
41,704,#FFFF00
41,3246,#FFFF00
41,4971,#FFFF00
42,101,#00FF00
42,178,#00FF00
42,241,#00FF00
42,364,#00FF00
42,1537,#00FF00
42,1633,#00FF00
42,1966,#00FF00
43,118,#AAAAAA
43,145,#AAAAAA
43,194,#AAAAAA
43,213,#AAAAAA
43,264,#AAAAAA
43,538,#AAAAAA
43,681,#AAAAAA
43,1116,#AAAAAA
43,2941,#AAAAAA
43,7032,#AAAAAA
44,107,#AAAAAA
44,128,#AAAAAA
44,172,#AAAAAA
44,293,#AAAAAA
44,523,#AAAAAA
44,671,#AAAAAA
44,2752,#AAAAAA
44,3216,#AAAAAA
44,3878,#AAAAAA
45,116,#000000
45,184,#000000
45,783,#000000
45,2190,#000000
45,5132,#000000
46,219,#00FF00
46,227,#00FF00
46,605,#00FF00
46,653,#00FF00
46,1471,#00FF00
47,103,#00FFFF
47,204,#00FFFF
47,231,#00FFFF
47,417,#00FFFF
47,1210,#00FFFF
47,1810,#00FFFF
47,2755,#00FFFF
47,2812,#00FFFF
47,7210,#00FFFF
48,248,#FFFF00
48,485,#FFFF00
48,1194,#FFFF00
49,120,#00FF00
49,159,#00FF00
49,208,#00FF00
49,327,#00FF00
49,615,#00FF00
49,883,#00FF00
49,2740,#00FF00
49,6439,#00FF00
50,148,#00FFFF
50,155,#00FFFF
50,198,#00FFFF
50,398,#00FFFF
50,653,#00FFFF
50,4984,#00FFFF
50,6073,#00FFFF
51,126,#AAAAAA
51,195,#AAAAAA
51,197,#AAAAAA
51,234,#AAAAAA
51,379,#AAAAAA
51,870,#AAAAAA
51,7126,#AAAAAA
52,154,#00FFFF
52,292,#00FFFF
52,476,#00FFFF
52,902,#00FFFF
52,2664,#00FFFF
53,162,#FF0000
53,262,#FF0000
53,286,#FF0000
53,339,#FF0000
53,524,#FF0000
53,660,#FF0000
53,731,#FF0000
53,2313,#FF0000
53,2450,#FF0000
53,3391,#FF0000
53,9005,#FF0000
54,396,#FF00FF
54,423,#FF00FF
54,1722,#FF00FF
54,3963,#FF00FF
54,8059,#FF00FF
54,9308,#FF00FF
55,291,#FF0000
55,1890,#FF0000
55,4943,#FF0000
55,9401,#FF0000
56,148,#FFFF00
56,498,#FFFF00
56,948,#FFFF00
56,971,#FFFF00
56,2725,#FFFF00
56,7997,#FFFF00
57,182,#0000FF
57,236,#0000FF
57,253,#0000FF
57,440,#0000FF
57,595,#0000FF
57,1219,#0000FF
57,3950,#0000FF
57,4482,#0000FF
57,7245,#0000FF
58,149,#AAAAAA
58,165,#AAAAAA
58,185,#AAAAAA
58,226,#AAAAAA
58,229,#AAAAAA
58,270,#AAAAAA
58,272,#AAAAAA
58,2111,#AAAAAA
58,2656,#AAAAAA
58,3128,#AAAAAA
58,3905,#AAAAAA
58,5570,#AAAAAA
59,116,#0000FF
59,139,#0000FF
59,147,#0000FF
59,161,#0000FF
59,188,#0000FF
59,292,#0000FF
59,338,#0000FF
59,845,#0000FF
60,151,#AAAAAA
60,161,#AAAAAA
60,174,#AAAAAA
60,294,#AAAAAA
60,354,#AAAAAA
60,357,#AAAAAA
60,1258,#AAAAAA
60,4270,#AAAAAA
60,5006,#AAAAAA
60,8755,#AAAAAA
61,181,#FF00FF
61,2312,#FF00FF
62,112,#FF00FF
62,193,#FF00FF
62,430,#FF00FF
62,487,#FF00FF
62,536,#FF00FF
62,1736,#FF00FF
62,5675,#FF00FF
62,6098,#FF00FF
63,143,#000000
63,226,#000000
63,281,#000000
63,347,#000000
63,808,#000000
63,812,#000000
63,1881,#000000
63,2132,#000000
63,3967,#000000
63,5995,#000000
64,105,#FF0000
64,268,#FF0000
64,455,#FF0000
64,654,#FF0000
64,6628,#FF0000
65,114,#FF00FF
65,468,#FF00FF
65,2080,#FF00FF
65,5544,#FF00FF
66,146,#00FFFF
66,258,#00FFFF
66,265,#00FFFF
66,267,#00FFFF
66,303,#00FFFF
66,817,#00FFFF
66,863,#00FFFF
66,1319,#00FFFF
66,1731,#00FFFF
66,1878,#00FFFF
66,2389,#00FFFF
66,4497,#00FFFF
66,4730,#00FFFF
67,934,#FFFF00
67,1779,#FFFF00
67,2559,#FFFF00
67,3010,#FFFF00
67,6224,#FFFF00
68,104,#0000FF
68,119,#0000FF
68,183,#0000FF
68,324,#0000FF
68,515,#0000FF
68,1143,#0000FF
68,1286,#0000FF
68,1327,#0000FF
69,134,#AAAAAA
69,136,#AAAAAA
69,139,#AAAAAA
69,170,#AAAAAA
69,284,#AAAAAA
69,290,#AAAAAA
69,1032,#AAAAAA
69,8013,#AAAAAA
70,372,#AAAAAA
71,154,#00FFFF
71,176,#00FFFF
71,179,#00FFFF
71,412,#00FFFF
71,502,#00FFFF
71,569,#00FFFF
71,1758,#00FFFF
71,2448,#00FFFF
72,1249,#00FF00
72,1829,#00FF00
73,102,#FF00FF
73,206,#FF00FF
73,302,#FF00FF
73,1172,#FF00FF
73,4394,#FF00FF
74,109,#FF00FF
74,111,#FF00FF
74,158,#FF00FF
74,168,#FF00FF
74,193,#FF00FF
74,301,#FF00FF
74,555,#FF00FF
74,1159,#FF00FF
74,4345,#FF00FF
74,6037,#FF00FF
74,6294,#FF00FF
75,178,#FFFF00
75,1399,#FFFF00
75,1740,#FFFF00
75,2700,#FFFF00
75,3519,#FFFF00
75,3522,#FFFF00
75,7935,#FFFF00
76,104,#AAAAAA
76,108,#AAAAAA
76,114,#AAAAAA
76,130,#AAAAAA
76,131,#AAAAAA
76,147,#AAAAAA
76,167,#AAAAAA
76,294,#AAAAAA
76,627,#AAAAAA
76,859,#AAAAAA
76,1026,#AAAAAA
76,2691,#AAAAAA
76,3730,#AAAAAA
77,111,#000000
77,164,#000000
77,181,#000000
77,256,#000000
77,362,#000000
77,444,#000000
77,1235,#000000
77,1578,#000000
77,2136,#000000
78,124,#00FFFF
78,128,#00FFFF
78,135,#00FFFF
78,195,#00FFFF
78,201,#00FFFF
78,247,#00FFFF
78,288,#00FFFF
78,312,#00FFFF
78,335,#00FFFF
78,374,#00FFFF
78,412,#00FFFF
78,508,#00FFFF
78,883,#00FFFF
78,997,#00FFFF
78,1137,#00FFFF
78,1166,#00FFFF
78,3664,#00FFFF
78,4521,#00FFFF
78,8984,#00FFFF
79,127,#00FFFF
79,179,#00FFFF
79,198,#00FFFF
79,225,#00FFFF
79,373,#00FFFF
79,516,#00FFFF
79,578,#00FFFF
79,585,#00FFFF
79,785,#00FFFF
79,978,#00FFFF
79,1191,#00FFFF
79,4632,#00FFFF
80,106,#FFFF00
80,192,#FFFF00
80,234,#FFFF00
80,466,#FFFF00
80,1882,#FFFF00
81,132,#FFFF00
81,167,#FFFF00
81,487,#FFFF00
81,762,#FFFF00
81,4021,#FFFF00
81,4087,#FFFF00
81,8074,#FFFF00
82,628,#FF0000
82,3153,#FF0000
83,142,#FFFF00
83,169,#FFFF00
83,320,#FFFF00
83,386,#FFFF00
83,390,#FFFF00
83,1214,#FFFF00
83,1669,#FFFF00
83,1683,#FFFF00
84,261,#FF0000
85,152,#FF0000
85,170,#FF0000
85,171,#FF0000
85,471,#FF0000
85,486,#FF0000
85,505,#FF0000
85,695,#FF0000
85,4194,#FF0000
86,260,#FFFF00
86,417,#FFFF00
86,1979,#FFFF00
87,121,#0000FF
87,143,#0000FF
87,186,#0000FF
87,214,#0000FF
87,484,#0000FF
87,620,#0000FF
87,1010,#0000FF
87,2149,#0000FF
87,3636,#0000FF
87,4327,#0000FF
88,122,#FF00FF
88,133,#FF00FF
88,145,#FF00FF
88,182,#FF00FF
88,279,#FF00FF
88,334,#FF00FF
88,660,#FF00FF
89,240,#FFFF00
89,2733,#FFFF00
89,3219,#FFFF00
90,109,#FF0000
90,163,#FF0000
90,627,#FF0000
90,656,#FF0000
90,3875,#FF0000
90,4332,#FF0000
90,5611,#FF0000
90,5795,#FF0000
90,9148,#FF0000
91,349,#FFFF00
91,352,#FFFF00
91,394,#FFFF00
91,723,#FFFF00
91,1696,#FFFF00
91,3802,#FFFF00
92,127,#AAAAAA
92,156,#AAAAAA
92,160,#AAAAAA
92,164,#AAAAAA
92,166,#AAAAAA
92,233,#AAAAAA
92,258,#AAAAAA
92,275,#AAAAAA
92,318,#AAAAAA
92,390,#AAAAAA
92,624,#AAAAAA
92,1374,#AAAAAA
92,1620,#AAAAAA
92,1710,#AAAAAA
92,2276,#AAAAAA
92,5637,#AAAAAA
92,5866,#AAAAAA
93,117,#AAAAAA
93,140,#AAAAAA
93,160,#AAAAAA
93,172,#AAAAAA
93,220,#AAAAAA
93,379,#AAAAAA
93,541,#AAAAAA
93,648,#AAAAAA
93,704,#AAAAAA
93,724,#AAAAAA
93,1268,#AAAAAA
93,1741,#AAAAAA
93,2603,#AAAAAA
93,2912,#AAAAAA
93,4065,#AAAAAA
93,4699,#AAAAAA
94,126,#00FF00
94,137,#00FF00
94,223,#00FF00
94,277,#00FF00
94,352,#00FF00
94,364,#00FF00
94,647,#00FF00
94,798,#00FF00
94,8506,#00FF00
95,156,#AAAAAA
95,239,#AAAAAA
95,1210,#AAAAAA
96,138,#000000
96,2351,#000000
97,157,#AAAAAA
97,174,#AAAAAA
97,184,#AAAAAA
97,266,#AAAAAA
97,293,#AAAAAA
97,314,#AAAAAA
97,316,#AAAAAA
97,406,#AAAAAA
97,514,#AAAAAA
97,1634,#AAAAAA
97,1692,#AAAAAA
97,4235,#AAAAAA
97,6496,#AAAAAA
97,9030,#AAAAAA
98,123,#0000FF
98,185,#0000FF
98,186,#0000FF
98,373,#0000FF
98,525,#0000FF
98,533,#0000FF
98,701,#0000FF
98,1733,#0000FF
98,2962,#0000FF
99,121,#FFFF00
99,176,#FFFF00
99,230,#FFFF00
99,836,#FFFF00
99,1098,#FFFF00
100,214,#00FF00
100,224,#00FF00
100,2413,#00FF00
100,6331,#00FF00
100,7815,#00FF00
100,9246,#00FF00
101,255,#00FFFF
101,295,#00FFFF
101,421,#00FFFF
101,503,#00FFFF
101,604,#00FFFF
101,678,#00FFFF
101,1158,#00FFFF
101,1424,#00FFFF
101,2461,#00FFFF
101,4305,#00FFFF
101,5791,#00FFFF
101,6441,#00FFFF
102,336,#FF00FF
102,636,#FF00FF
102,2542,#FF00FF
102,7243,#FF00FF
103,249,#AAAAAA
103,287,#AAAAAA
103,380,#AAAAAA
103,970,#AAAAAA
103,3480,#AAAAAA
103,4609,#AAAAAA
104,250,#AAAAAA
104,756,#AAAAAA
104,1117,#AAAAAA
104,1468,#AAAAAA
104,2584,#AAAAAA
105,983,#FF0000
105,1151,#FF0000
105,2079,#FF0000
105,7812,#FF0000
106,588,#FFFF00
106,944,#FFFF00
106,2108,#FFFF00
106,2929,#FFFF00
106,4128,#FFFF00
106,9796,#FFFF00
107,307,#AAAAAA
107,492,#AAAAAA
107,3621,#AAAAAA
107,3918,#AAAAAA
108,262,#AAAAAA
108,967,#AAAAAA
108,1671,#AAAAAA
108,3188,#AAAAAA
108,4350,#AAAAAA
108,4458,#AAAAAA
108,6096,#AAAAAA
109,370,#FF00FF
109,486,#FF00FF
109,935,#FF00FF
109,6225,#FF00FF
109,8756,#FF00FF
110,552,#AAAAAA
110,1519,#AAAAAA
110,2980,#AAAAAA
110,3695,#AAAAAA
110,5705,#AAAAAA
111,277,#FF00FF
111,299,#FF00FF
111,327,#FF00FF
111,2574,#FF00FF
111,7760,#FF00FF
112,424,#FF00FF
112,542,#FF00FF
112,1626,#FF00FF
112,7893,#FF00FF
113,227,#0000FF
113,363,#0000FF
113,408,#0000FF
113,1433,#0000FF
113,2560,#0000FF
113,2569,#0000FF
113,3062,#0000FF
113,5015,#0000FF
114,221,#FF00FF
114,287,#FF00FF
114,372,#FF00FF
114,456,#FF00FF
114,776,#FF00FF
114,6269,#FF00FF
115,250,#0000FF
115,274,#0000FF
115,355,#0000FF
115,2043,#0000FF
115,2803,#0000FF
115,6120,#0000FF
116,309,#000000
116,577,#000000
116,2041,#000000
116,3130,#000000
117,211,#AAAAAA
117,290,#AAAAAA
117,382,#AAAAAA
117,396,#AAAAAA
117,583,#AAAAAA
117,825,#AAAAAA
117,891,#AAAAAA
117,1373,#AAAAAA
117,1788,#AAAAAA
117,7201,#AAAAAA
117,9188,#AAAAAA
118,238,#AAAAAA
118,264,#AAAAAA
118,472,#AAAAAA
118,2689,#AAAAAA
118,2971,#AAAAAA
118,2979,#AAAAAA
118,9995,#AAAAAA
119,259,#00FFFF
119,278,#00FFFF
119,285,#00FFFF
119,457,#00FFFF
119,578,#00FFFF
119,1703,#00FFFF
119,2741,#00FFFF
120,257,#00FF00
120,263,#00FF00
120,289,#00FF00
120,297,#00FF00
120,405,#00FF00
120,906,#00FF00
120,1912,#00FF00
120,6016,#00FF00
121,221,#FF00FF
121,745,#FF00FF
121,785,#FF00FF
121,1855,#FF00FF
121,3122,#FF00FF
121,3719,#FF00FF
122,815,#0000FF
122,1251,#0000FF
122,4999,#0000FF
122,6191,#0000FF
123,282,#0000FF
123,289,#0000FF
123,365,#0000FF
123,434,#0000FF
123,664,#0000FF
123,1252,#0000FF
123,3262,#0000FF
123,6069,#0000FF
124,225,#00FFFF
124,244,#00FFFF
124,245,#00FFFF
124,269,#00FFFF
124,323,#00FFFF
124,564,#00FFFF
124,930,#00FFFF
124,962,#00FFFF
124,1331,#00FFFF
124,1879,#00FFFF
124,5064,#00FFFF
124,6080,#00FFFF
124,8981,#00FFFF
125,220,#00FF00
125,751,#00FF00
125,5384,#00FF00
126,205,#AAAAAA
126,242,#AAAAAA
126,295,#AAAAAA
126,324,#AAAAAA
126,413,#AAAAAA
127,246,#00FFFF
127,278,#00FFFF
127,326,#00FFFF
127,1819,#00FFFF
127,1828,#00FFFF
127,5525,#00FFFF
128,253,#00FFFF
128,374,#00FFFF
128,515,#00FFFF
128,678,#00FFFF
129,320,#AAAAAA
129,391,#AAAAAA
129,433,#AAAAAA
129,1434,#AAAAAA
129,3562,#AAAAAA
130,212,#FF00FF
130,397,#FF00FF
130,2131,#FF00FF
131,343,#0000FF
131,1344,#0000FF
131,3788,#0000FF
131,5581,#0000FF
132,298,#00FFFF
132,375,#00FFFF
132,1157,#00FFFF
132,4896,#00FFFF
132,7380,#00FFFF
133,437,#FF00FF
133,646,#FF00FF
133,951,#FF00FF
133,2917,#FF00FF
133,3553,#FF00FF
134,283,#FF00FF
134,646,#FF00FF
134,697,#FF00FF
134,1549,#FF00FF
134,2907,#FF00FF
134,8066,#FF00FF
134,9959,#FF00FF
135,1588,#00FFFF
135,2833,#00FFFF
135,2853,#00FFFF
135,3169,#00FFFF
135,4820,#00FFFF
135,5173,#00FFFF
136,237,#AAAAAA
136,794,#AAAAAA
136,1883,#AAAAAA
136,9641,#AAAAAA
137,508,#00FF00
137,672,#00FF00
137,759,#00FF00
137,859,#00FF00
137,964,#00FF00
137,1054,#00FF00
137,1551,#00FF00
137,1915,#00FF00
137,2107,#00FF00
138,276,#000000
138,1009,#000000
138,1195,#000000
138,1595,#000000
138,2264,#000000
138,4259,#000000
139,203,#0000FF
139,399,#0000FF
139,532,#0000FF
139,747,#0000FF
139,815,#0000FF
139,2303,#0000FF
139,3754,#0000FF
140,222,#FF00FF
140,334,#FF00FF
140,350,#FF00FF
140,425,#FF00FF
140,1865,#FF00FF
140,1874,#FF00FF
141,240,#AAAAAA
141,248,#AAAAAA
141,319,#AAAAAA
141,531,#AAAAAA
141,579,#AAAAAA
141,623,#AAAAAA
141,844,#AAAAAA
141,863,#AAAAAA
141,1548,#AAAAAA
142,228,#AAAAAA
142,285,#AAAAAA
142,754,#AAAAAA
142,800,#AAAAAA
143,251,#0000FF
143,587,#0000FF
143,1234,#0000FF
143,3066,#0000FF
143,5332,#0000FF
143,5696,#0000FF
144,735,#0000FF
144,909,#0000FF
144,1135,#0000FF
144,1304,#0000FF
144,2274,#0000FF
144,4964,#0000FF
145,291,#AAAAAA
145,554,#AAAAAA
145,572,#AAAAAA
145,2033,#AAAAAA
145,2477,#AAAAAA
