Id,Generation [z],color
0,0,#FF00FF
1,0,#FFFF00
2,0,#FF0000
3,0,#AAAAAA
4,0,#FF0000
5,0,#FF0000
6,0,#AAAAAA
7,0,#FFFF00
8,0,#FFFF00
9,0,#AAAAAA
10,0,#0000FF
11,0,#FF00FF
12,0,#FFFF00
13,0,#00FFFF
14,0,#0000FF
15,0,#00FFFF
16,0,#0000FF
17,0,#000000
18,0,#0000FF
19,0,#FF00FF
20,0,#00FF00
21,0,#FF00FF
22,0,#FF00FF
23,0,#000000
24,0,#00FFFF
25,0,#000000
26,0,#0000FF
27,0,#000000
28,0,#FFFF00
29,0,#000000
30,0,#FF00FF
31,0,#AAAAAA
32,0,#FF00FF
33,0,#00FFFF
34,0,#AAAAAA
35,0,#FF0000
36,0,#AAAAAA
37,0,#FF00FF
38,0,#FF00FF
39,0,#000000
40,0,#00FF00
41,0,#000000
42,0,#FF00FF
43,0,#00FF00
44,0,#FFFF00
45,0,#FF0000
46,0,#FF0000
47,0,#FF0000
48,0,#FF00FF
49,0,#000000
50,1,#00FF00
51,1,#FF0000
52,1,#AAAAAA
53,1,#FF0000
54,1,#00FF00
55,1,#00FF00
56,1,#AAAAAA
57,1,#000000
58,1,#0000FF
59,1,#AAAAAA
60,1,#FF00FF
61,1,#00FFFF
62,1,#FFFF00
63,1,#000000
64,1,#AAAAAA
65,1,#FF0000
66,1,#FF00FF
67,1,#FF00FF
68,1,#FF00FF
69,1,#FF00FF
70,1,#00FF00
71,1,#0000FF
72,1,#000000
73,1,#FF0000
74,1,#FF00FF
75,1,#FF0000
76,1,#00FF00
77,1,#AAAAAA
78,1,#FF0000
79,1,#FF0000
80,1,#FFFF00
81,1,#AAAAAA
82,1,#FF0000
83,1,#00FF00
84,1,#AAAAAA
85,1,#0000FF
86,1,#00FF00
87,1,#FF0000
88,1,#FF0000
89,1,#FF00FF
90,1,#FF00FF
91,1,#FF00FF
92,1,#AAAAAA
93,1,#FF00FF
94,1,#00FFFF
95,1,#000000
96,1,#00FFFF
97,1,#0000FF
98,1,#FF00FF
99,1,#FF00FF
100,2,#AAAAAA
101,2,#FF0000
102,2,#FF00FF
103,2,#AAAAAA
104,2,#FF00FF
105,2,#AAAAAA
106,2,#AAAAAA
107,2,#00FFFF
108,2,#AAAAAA
109,2,#FFFF00
110,2,#FF00FF
111,2,#000000
112,2,#000000
113,2,#00FF00
114,2,#FF00FF
115,2,#FFFF00
116,2,#FFFF00
117,2,#0000FF
118,2,#FF00FF
119,2,#FF0000
120,2,#FFFF00
121,2,#FF00FF
122,2,#FF0000
123,2,#FF00FF
124,2,#FFFF00
125,2,#FF0000
126,2,#FF0000
127,2,#000000
128,2,#0000FF
129,2,#FF00FF
130,2,#00FFFF
131,2,#FFFF00
132,2,#FF00FF
133,2,#00FFFF
134,2,#000000
135,2,#FF00FF
136,2,#FF00FF
137,2,#FF0000
138,2,#AAAAAA
139,2,#000000
140,2,#00FF00
141,2,#FFFF00
142,2,#FF0000
143,2,#0000FF
144,2,#00FFFF
145,2,#AAAAAA
146,2,#000000
147,2,#FFFF00
148,2,#FF0000
149,2,#FF00FF
150,3,#000000
151,3,#FF0000
152,3,#FF00FF
153,3,#AAAAAA
154,3,#FFFF00
155,3,#FF00FF
156,3,#FF00FF
157,3,#FF00FF
158,3,#FF0000
159,3,#FF00FF
160,3,#00FFFF
161,3,#FF00FF
162,3,#00FFFF
163,3,#FF0000
164,3,#AAAAAA
165,3,#000000
166,3,#FF0000
167,3,#00FFFF
168,3,#FF00FF
169,3,#FFFF00
170,3,#FF0000
171,3,#AAAAAA
172,3,#FF0000
173,3,#FF00FF
174,3,#FFFF00
175,3,#FF00FF
176,3,#0000FF
177,3,#FFFF00
178,3,#000000
179,3,#AAAAAA
180,3,#AAAAAA
181,3,#FF0000
182,3,#0000FF
183,3,#FF00FF
184,3,#FFFF00
185,3,#000000
186,3,#FF0000
187,3,#FFFF00
188,3,#FF00FF
189,3,#00FF00
190,3,#FF0000
191,3,#FF00FF
