Id,Generation [z],color
0,0,#00FFFF
1,0,#000000
2,0,#00FFFF
3,0,#00FF00
4,0,#FF00FF
5,0,#00FF00
6,0,#FF00FF
7,0,#00FFFF
8,0,#FF00FF
9,0,#00FF00
10,1,#00FF00
11,1,#0000FF
12,1,#00FF00
13,1,#FF00FF
14,1,#00FFFF
15,1,#FF0000
16,1,#00FFFF
17,1,#FFFF00
18,1,#00FF00
19,1,#0000FF
20,2,#FFFF00
21,2,#00FF00
22,2,#00FFFF
23,2,#AAAAAA
24,2,#FFFF00
25,2,#AAAAAA
26,2,#FF00FF
27,2,#0000FF
28,2,#FF00FF
29,2,#00FF00
30,3,#FF00FF
31,3,#00FF00
32,3,#AAAAAA
33,3,#00FF00
34,3,#FFFF00
35,3,#00FFFF
36,3,#FFFF00
37,3,#00FF00
38,3,#0000FF
39,3,#FF00FF
40,4,#FF0000
41,4,#FF0000
42,4,#00FFFF
43,4,#FFFF00
44,4,#FF00FF
45,4,#FF00FF
46,4,#00FFFF
47,4,#FF0000
48,4,#FF0000
49,4,#00FF00
50,5,#AAAAAA
51,5,#FFFF00
52,5,#FF0000
53,5,#FF0000
54,5,#FF00FF
55,5,#AAAAAA
56,5,#00FF00
57,5,#FF0000
58,5,#00FFFF
59,5,#FFFF00
60,6,#FFFF00
61,6,#AAAAAA
62,6,#00FF00
63,6,#FFFF00
64,6,#FF00FF
65,6,#FF00FF
66,6,#FFFF00
67,6,#FF0000
68,6,#00FFFF
69,6,#FF00FF
70,7,#AAAAAA
71,7,#00FF00
72,7,#FF0000
73,7,#FF00FF
74,7,#FFFF00
75,7,#FFFF00
76,7,#00FFFF
77,7,#FF0000
78,7,#AAAAAA
79,7,#AAAAAA
80,8,#AAAAAA
81,8,#00FF00
82,8,#AAAAAA
83,8,#FFFF00
84,8,#FFFF00
85,8,#FF0000
86,8,#0000FF
87,8,#AAAAAA
88,8,#AAAAAA
89,8,#FFFF00
90,9,#AAAAAA
91,9,#AAAAAA
92,9,#AAAAAA
93,9,#00FF00
94,9,#AAAAAA
95,9,#FFFF00
96,9,#FF00FF
97,9,#AAAAAA
98,9,#FF00FF
99,9,#FFFF00
100,10,#FFFF00
101,10,#AAAAAA
102,10,#AAAAAA
103,10,#AAAAAA
104,10,#AAAAAA
105,10,#FFFF00
106,10,#FFFF00
107,10,#00FFFF
108,10,#FF00FF
109,10,#FFFF00
110,11,#AAAAAA
111,11,#AAAAAA
112,11,#AAAAAA
